Performance.KDTMean;Performance.MAMean;Performance.MVMean;Performance.TBCMean;Performance.DDCMean;Performance.DMSMean;Performance.AEDMean;Performance.ADMSLMean;FatigueLevel;Performance.Task
0,001442498;0,174147709;-0,075438578;0,039034033;-0,006516263;0,02707283;0,012349313;0,119589338;0;-1
0,004620422;0,06277384;0,002752699;-0,009991258;0,035087239;-0,009085507;0,037104644;-0,133657761;0;-1
-1;-0,479492375;-0,385666018;0,034830927;0,548017951;-0,20711886;-0,014963831;-0,055208762;0;1
0,003348521;-0,03340475;-0,025152221;0,167039018;-0,039538593;0,014580384;0,046126139;0,012119653;0;-1
0,002365555;0,051519048;0,052439353;-0,084852692;0,000495104;0,00506663;-0,007773479;0,024266447;0;-1
-0,001288575;0,024232272;0,001171979;0,002260403;0,142898151;-0,002191405;-0,013302967;-0,013541387;0;0
0,005717317;-0,026452317;-0,009725663;-0,095353534;0,055828911;-0,002128505;0,012744507;-0,024247375;0;-1
-0,000798435;0,067702214;0,058072215;0,006445203;0,058254984;0,028630533;0,007222471;0,50712487;0;0
0,008267693;0,134594037;0,221356314;0,053476734;0,115114465;-0,001604828;0,0101869;0,04875718;0;-1
0,041415334;-0,122606778;-0,056661898;0,010584907;0,148027307;0,001422214;-0,014873985;-0,025621974;0;0
-0,000349284;0,070022897;0,002246979;-0,003689841;-0,04208758;-0,005535476;-0,022247751;-0,075393579;0;0
0,002545443;0,148733777;0,127514326;-0,002140746;0,017688878;-0,013038162;0,000487176;-0,014554599;0;1
0,007406219;-0,078084013;-0,05901654;-0,077528781;-0,007017847;-0,017191929;0,008363344;-0,071399633;1;-1
0,043538811;0,069255342;0,069106194;0,022896818;0,023657056;0,028990833;-0,017073381;0,356961691;0;0
0,00378362;-6,41611E-05;0,01757345;0,011113482;0,167068112;-0,002379171;-0,003677317;-0,034000679;0;-1
0,009744911;-0,026322623;-0,000453596;-0,010501408;0,304774169;0,001472093;-0,012254141;0,014872058;0;-1
0,001211464;0,019793279;0,018587751;-0,086162693;0,035595989;-0,004829154;0,021418588;-0,018991304;0;-1
-0,00238175;-0,030013253;-0,00870177;0,008491285;-0,008395308;0,042789226;-0,008128336;0,120211872;0;0
-0,013016991;0,003573433;0,002132521;0,111432383;-0,034358011;0,162188806;0,091401187;0,304551963;0;0
0,000243376;-0,138145872;-0,056657975;0,019486338;-0,003512542;0,014302916;-0,007375972;0,03961325;0;0
-0,014124566;-0,185555192;-0,036960016;0,009080076;0,24382918;0,084457996;0,119926583;0,328795114;1;0
0,062707566;-0,038395674;-0,028187282;0,135743795;0,044640261;0,002064293;0,010396766;-0,027830386;1;-1
-0,000249435;0,014790594;0,008642785;0,02283039;-0,034358011;0,003932794;-0,025498052;-0,007531132;1;1
0,03379736;0,043728604;0,088816705;0,005989983;0,121348194;0,019725362;0,002698766;0,632762681;0;-1
-0,000224989;-0,066827799;-0,002909628;0,004832016;-0,016315735;0,004007582;-0,011024076;-0,007012786;0;-1
0,00499543;0,016536829;0,02004485;-0,071725551;0,040634059;-0,000141303;0,006597784;0,00515414;1;-1
-0,006365668;0,114755142;0,096544796;-0,099791519;0,075294168;-0,004074156;0,070559184;-0,010995117;0;-1
0,113176655;0,028422914;0,029664373;-0,005284102;-0,001985344;0,010219222;-0,002764308;0,131351354;1;0
0,00950287;-0,00324831;0,001616664;-0,098733696;0,045522927;0,004873411;0,001540576;0,02439636;0;-1
-0,00143416;-0,169917918;-0,148805157;0,007938274;0,167703025;0,098781908;0,006679735;0,058546256;0;0
0,011150654;-0,029843269;-0,006548143;-0,002779835;0,207188814;-0,015904574;-0,017666632;-0,085292249;0;0
0,004419946;-0,047187111;-0,017511564;-0,071381779;0,034597528;-0,017199005;-0,060106977;-0,041857181;1;-1
0,013541285;-0,227265319;-0,3016747;0,016941441;0,010960006;-0,003604751;-0,007274301;-0,080427905;0;-1
0,001478951;0,023667846;-0,008355637;0,066773562;0,053577823;0,001255405;-0,033246924;0,029263331;1;-1
0,006493178;-0,046361174;-0,038949091;0,007046464;0,164209429;0,064673756;0,001783702;0,268901225;0;0
0,001862328;0,029214598;0,030720082;-0,004354702;-0,005672243;-0,01607942;0,013220807;-0,099276018;0;0
0,067764517;9,31465E-06;0,005508902;-0,003373268;0,009833749;-0,019120206;0,008267614;-0,091476873;1;0
0,011077391;-0,089834197;-0,061187786;0,004203082;0,086114392;-0,028812604;0,001293509;-0,03850499;0;1
-0,00118058;0,005159161;0,002766789;0,086436104;0,020392621;0,172784108;-0,001672577;0,445234311;0;1
0,003819702;-0,032144597;-0,018937556;-0,013350412;-0,006088872;0;0,000599288;0,001836884;0;1
0,001373022;-0,003893424;0,006683793;0,154069688;-0,041632642;-0,002312637;0,002428682;-0,042795121;0;-1
0,161301459;0,019847898;0,031038427;-0,002141356;0,137427922;-0,009225021;0,023510286;-0,007446502;0;0
-0,021591441;-0,013697743;-0,000844138;-0,006444225;0,324856623;-0,000421408;-0,001181901;-0,04061472;0;0
0,017480143;0,090325902;0,002745557;-0,00318825;0,086717177;0,003713766;-0,017974639;0,259931455;0;-1
0,002169775;0,202175951;0,177217996;-0,022021583;-0,021120643;0,020417735;0,060196512;0,058339433;1;-1
0,047489147;0,300417125;0,322788437;0,08816179;-0,031367867;-0,117486171;-0,042984639;-0,190470205;1;-1
-0,000467141;0,037204494;0,029140974;-0,004719256;0,210380764;-0,019024759;-0,016986454;-0,126699654;0;0
0,001842058;0,049534789;0,03987548;0,068797494;-0,063830145;0,03099044;-0,023965227;0,086281323;1;-1
0,050110874;-0,20047982;-0,115301215;-0,004011399;0,216018062;-0,102547573;-0,00795907;-0,324459969;0;-1
0,445350398;0,001982468;0,000924253;-0,04160914;0,004185487;0,003567916;-0,035760493;0,047870119;0;1
0,555803328;-0,049137304;-0,000712231;-0,000115757;0,373353677;-0,010680641;0,011387605;-0,182231591;0;0
0,012939364;0,191955191;0,232888349;-0,00091277;-0,063156548;0,002463156;0,007789566;0,091201415;0;-1
0,006096241;0,00030465;-0,001145732;0,039143291;0,052396032;0,030294037;0,066960912;0,049860702;1;0
0,000175738;-0,00282636;-0,000193151;0,007214051;-0,046706545;0,0181889;0,047261723;0,090973463;0;0
0,001229584;0,108711061;0,061899503;0,075926175;-0,036083343;-0,00357352;0,002620977;0,02191475;0;-1
-0,010061757;-0,212926773;-0,137246278;-0,018854817;-0,006088872;-0,051003243;-0,000447142;-0,071062878;0;1
-0,00500317;0,040407674;0,014421719;-0,060570423;-0,064426638;0,005485879;-0,013959935;0,03516572;1;-1
-0,001011031;-0,016041277;-0,013622701;-0,003673574;-0,009678647;0,087884482;-0,014068441;0,21407838;1;0
-0,000356104;-0,094756626;-0,030722669;0,022782401;-0,008395308;0,13325941;-0,011787035;0,559528997;0;0
